Creation Date;Origin;Destination;Topic;Description
Mon Nov 08 2021 00:48:46 GMT+0000 (Coordinated Universal Time);central-server;client;state;Sending state of the ESPs
Mon Nov 08 2021 00:48:46 GMT+0000 (Coordinated Universal Time);esp;central-server;fse2021/180054848/sala/estado;Received message on mqtt's topic
Mon Nov 08 2021 00:48:46 GMT+0000 (Coordinated Universal Time);esp;central-server;estado;Received estado from ESP in sala
Mon Nov 08 2021 00:48:46 GMT+0000 (Coordinated Universal Time);central-server;client;state;Sending state of the ESPs
Mon Nov 08 2021 00:48:46 GMT+0000 (Coordinated Universal Time);client;central-server;push output state;Pushing output state of ESP@b8:f0:09:cd:4a:3c
Mon Nov 08 2021 00:48:46 GMT+0000 (Coordinated Universal Time);central-server;esp;push output state;Sending push output state message to ESP@b8:f0:09:cd:4a:3c
Mon Nov 08 2021 00:48:46 GMT+0000 (Coordinated Universal Time);central-server;client;state;Sending state of the ESPs
Mon Nov 08 2021 00:48:46 GMT+0000 (Coordinated Universal Time);esp;central-server;fse2021/180054848/sala/estado;Received message on mqtt's topic
Mon Nov 08 2021 00:48:46 GMT+0000 (Coordinated Universal Time);esp;central-server;estado;Received estado from ESP in sala
Mon Nov 08 2021 00:48:46 GMT+0000 (Coordinated Universal Time);central-server;client;state;Sending state of the ESPs
Mon Nov 08 2021 00:48:46 GMT+0000 (Coordinated Universal Time);client;central-server;push output state;Pushing output state of ESP@b8:f0:09:cd:4a:3c
Mon Nov 08 2021 00:48:46 GMT+0000 (Coordinated Universal Time);central-server;esp;push output state;Sending push output state message to ESP@b8:f0:09:cd:4a:3c
